ds,y,count
2023-02-01,0,0
2023-02-02,0,0
2023-02-03,0,0
2023-02-04,11200,3
2023-02-05,101500,17
2023-02-06,938700,136
2023-02-07,1072800,142
2023-02-08,831100,118
2023-02-09,1104200,144
2023-02-10,905800,141
2023-02-11,370500,46
2023-02-12,0,0
2023-02-13,869000,120
2023-02-14,1024800,133
2023-02-15,875800,136
2023-02-16,902200,119
2023-02-17,881100,114
2023-02-18,466900,67
2023-02-19,268700,37
2023-02-20,571800,79
2023-02-21,720600,102
2023-02-22,981600,128
2023-02-23,1135700,164
2023-02-24,1293700,153
2023-02-25,397000,48
2023-02-26,270200,38
2023-02-27,680900,102
2023-02-28,872800,117
2023-03-01,0,0
2023-03-02,934400,142
2023-03-03,871800,120
2023-03-04,607200,97
2023-03-05,234900,34
2023-03-06,809900,129
2023-03-07,754800,124
2023-03-08,861300,119
2023-03-09,774000,106
2023-03-10,1028900,140
2023-03-11,673400,85
2023-03-12,28200,5
2023-03-13,796200,123
2023-03-14,840600,128
2023-03-15,874600,128
2023-03-16,830800,118
2023-03-17,945300,131
2023-03-18,666700,94
2023-03-19,188400,27
2023-03-20,766075,112
2023-03-21,829500,125
2023-03-22,989600,134
2023-03-23,927805,141
2023-03-24,1111400,150
2023-03-25,636800,88
2023-03-26,257500,35
2023-03-27,950200,133
2023-03-28,874600,137
2023-03-29,853600,136
2023-03-30,1017800,133
2023-03-31,981560,145
2023-04-01,477900,89
2023-04-02,185100,29
2023-04-03,753000,115
2023-04-04,978100,146
2023-04-05,606500,87
2023-04-06,714300,93
2023-04-07,1228400,166
2023-04-08,666100,95
2023-04-09,269000,42
2023-04-10,741900,122
2023-04-11,689900,101
2023-04-12,801400,111
2023-04-13,750200,109
2023-04-14,955500,142
2023-04-15,630100,94
2023-04-16,320600,42
2023-04-17,791400,119
2023-04-18,786700,111
2023-04-19,894500,144
2023-04-20,832300,113
2023-04-21,906200,131
2023-04-22,636300,89
2023-04-23,338800,52
2023-04-24,628400,96
2023-04-25,670500,110
2023-04-26,861200,122
2023-04-27,910035,137
2023-04-28,780300,116
2023-04-29,537100,74
2023-04-30,177600,26
2023-05-01,477200,74
2023-05-02,894500,120
2023-05-03,1001000,136
2023-05-04,919400,132
2023-05-05,201000,25
2023-05-06,226000,35
2023-05-07,287800,40
2023-05-08,613300,96
2023-05-09,781160,118
2023-05-10,787400,107
2023-05-11,1002375,135
2023-05-12,775100,114
2023-05-13,764700,103
2023-05-14,289000,41
2023-05-15,676300,101
2023-05-16,840040,115
2023-05-17,800000,108
2023-05-18,763370,107
2023-05-19,828600,118
2023-05-20,536300,66
2023-05-21,202500,27
2023-05-22,644165,95
2023-05-23,799300,112
2023-05-24,850200,121
2023-05-25,780500,96
2023-05-26,936020,131
2023-05-27,263545,45
2023-05-28,153800,22
2023-05-29,371200,49
2023-05-30,766500,106
2023-05-31,833590,113
2023-06-01,922700,118
2023-06-02,663200,90
2023-06-03,576200,86
2023-06-04,186300,25
2023-06-05,602200,86
2023-06-06,266600,36
2023-06-07,789700,117
2023-06-08,750200,99
2023-06-09,728090,99
2023-06-10,700400,84
2023-06-11,246700,34
2023-06-12,682200,94
2023-06-13,866900,122
2023-06-14,747300,105
2023-06-15,679500,110
2023-06-16,828200,117
2023-06-17,609150,72
2023-06-18,241800,35
2023-06-19,620500,96
2023-06-20,665100,93
2023-06-21,724700,103
2023-06-22,858700,111
2023-06-23,817100,117
2023-06-24,552200,80
2023-06-25,262200,38
2023-06-26,677700,93
2023-06-27,718205,104
2023-06-28,780765,111
2023-06-29,545940,77
2023-06-30,821700,106
2023-07-01,492500,66
2023-07-02,316200,35
2023-07-03,764160,96
2023-07-04,599700,87
2023-07-05,817870,104
2023-07-06,638700,88
2023-07-07,830560,130
2023-07-08,327400,52
2023-07-09,188200,28
2023-07-10,652915,96
2023-07-11,577400,78
2023-07-12,902548,114
2023-07-13,646100,85
2023-07-14,537400,77
2023-07-15,578300,80
2023-07-16,283500,31
2023-07-17,627000,92
2023-07-18,662760,86
2023-07-19,774900,117
2023-07-20,860000,122
2023-07-21,744400,98
2023-07-22,511400,73
2023-07-23,233200,20
2023-07-24,598800,84
2023-07-25,671400,94
2023-07-26,738100,105
2023-07-27,913035,123
2023-07-28,0,0
2023-07-29,0,0
2023-07-30,174400,28
2023-07-31,572300,84
2023-08-01,425975,65
2023-08-02,769800,108
2023-08-03,627700,93
2023-08-04,634500,85
2023-08-05,392400,55
2023-08-06,167300,25
2023-08-07,664900,75
2023-08-08,598200,87
2023-08-09,747800,110
2023-08-10,308100,39
2023-08-11,544095,76
2023-08-12,463700,53
2023-08-13,398700,50
2023-08-14,518500,73
2023-08-15,366500,53
2023-08-16,683600,90
2023-08-17,969200,125
2023-08-18,1073390,108
2023-08-19,510200,75
2023-08-20,150500,24
2023-08-21,605000,84
2023-08-22,570100,76
2023-08-23,564100,73
2023-08-24,889765,130
2023-08-25,924190,115
2023-08-26,575100,78
2023-08-27,231900,38
2023-08-28,603935,100
2023-08-29,566005,88
2023-08-30,764600,100
2023-08-31,1151100,132
2023-09-01,"698,575",99
2023-09-02,"632,400",82
2023-09-03,"221,200",29
2023-09-04,"728,900",109
2023-09-05,"803,600",112
2023-09-06,"860,000",114
2023-09-07,"856,780",119
2023-09-08,"798,200",103
2023-09-09,"604,200",83
2023-09-10,"317,500",41
2023-09-11,"689,400",98
2023-09-12,"763,700",105
2023-09-13,"546,400",78
2023-09-14,"1,163,300",141
2023-09-15,"755,400",103
2023-09-16,"798,200",86
2023-09-17,"477,160",57
2023-09-18,"739,900",98
2023-09-19,"777,080",99
2023-09-20,"578,000",82
2023-09-21,"835,400",116
2023-09-22,"958,100",123
2023-09-23,"646,800",92
2023-09-24,"240,600",38
2023-09-25,"638,440",102
2023-09-26,"708,000",101
2023-09-27,"1,255,900",164
2023-09-28,"247,055",38
2023-09-29,0,0
2023-09-30,"436,600",59
2023-10-01,"219,100",27
2023-10-02,"451,900",58
2023-10-03,"306,300",44
2023-10-04,"697,700",92
2023-10-05,"703,500",111
2023-10-06,"912,020",115
2023-10-07,"422,200",61
2023-10-08,"324,000",41
2023-10-09,"425,800",56
2023-10-10,"761,500",102
2023-10-11,"906,900",133
2023-10-12,"863,100",127
2023-10-13,"1,080,700",134
2023-10-14,"702,600",91
2023-10-15,"348,900",51
2023-10-16,"999,220",142
2023-10-17,"843,165",128
2023-10-18,"996,200",137
2023-10-19,"595,400",89
2023-10-20,"762,700",112
2023-10-21,"1,008,900",117
2023-10-22,"382,700",54
2023-10-23,"938,800",139
2023-10-24,"838,875",131
2023-10-25,"877,800",121
2023-10-26,"811,300",119
2023-10-27,"963,190",125
2023-10-28,"692,200",94
2023-10-29,"415,500",48
2023-10-30,"655,900",104
2023-10-31,"828,810",114
2023-11-01,"819,500",109
2023-11-02,"1,008,100",137
2023-11-03,"1,026,070",134
2023-11-04,"611,100",83
2023-11-05,"372,050",42
2023-11-06,"735,200",105
2023-11-07,"971,940",123
2023-11-08,"710,500",99
2023-11-09,"799,200",112
2023-11-10,"684,860",85
2023-11-11,"675,700",74
2023-11-12,"313,400",29
2023-11-13,"778,600",112
2023-11-14,"820,400",113
2023-11-15,"928,700",111
2023-11-16,"640,700",89
2023-11-17,"845,600",98
2023-11-18,"610,600",84
2023-11-19,"321,065",37
2023-11-20,"961,900",129
2023-11-21,"874,000",115
2023-11-22,"859,700",113
2023-11-23,"971,700",122
2023-11-24,"829,300",106
2023-11-25,"869,900",107
2023-11-26,"313,100",35
2023-11-27,"939,100",127
2023-11-28,"743,705",100
2023-11-29,"889,500",104
2023-11-30,"805,754",98
